Indicator,  Merchandise exports by product group – annual (Million US dollar),,,,,,,
,,,,,,,,
Reporting Economy,Product/Sector,Partner Economy,2017,2018,2019,2020,2021,2022
"Bahrain, Kingdom of",SI3_AGG - MI - Fuels and mining products,World,11191,13564,13260,9540,16815,18740
"Bahrain, Kingdom of",SI3_AGG - MIFU - Fuels,World,8411,10594,9895,5938,9941,15069
"Bahrain, Kingdom of",SI3_AGG - MA - Manufactures,World,3596,3788,3845,3728,4640,5061
"Bahrain, Kingdom of",SI3_AGG - MAIS - Iron and steel,World,515,679,464,615,929,660
"Bahrain, Kingdom of",SI3_AGG - MACH - Chemicals,World,766,805,858,801,1078,1200
"Bahrain, Kingdom of",SI3_AGG - MACHPH - Pharmaceuticals,World,0,1,1,2,5,26
"Bahrain, Kingdom of",SI3_AGG - MAMT - Machinery and transport equipment,World,947,869,1095,1268,1314,1329
"Bahrain, Kingdom of",SI3_AGG - MAMTOF - Office and telecom equipment,World,69,55,88,127,167,190
"Bahrain, Kingdom of",SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,46,28,43,68,87,112
"Bahrain, Kingdom of",SI3_AGG - MAMTOTTL - Telecommunications equipment,World,22,26,43,56,77,74
"Bahrain, Kingdom of",SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,1,0,2,3,3,5
"Bahrain, Kingdom of",SI3_AGG - MAMTTE - Transport equipment,World,580,509,638,657,767,759
"Bahrain, Kingdom of",SI3_AGG - MAMTAU - Automotive products,World,493,400,500,445,416,278
"Bahrain, Kingdom of",SI3_AGG - MATE - Textiles,World,157,204,187,134,202,202
"Bahrain, Kingdom of",SI3_AGG - MACL - Clothing,World,129,90,71,49,44,64
Bangladesh,SI3_AGG - TO - Total merchandise,World,35851,39252,39337,33605,44223,54695
Bangladesh,SI3_AGG - AG - Agricultural products,World,1152,1116,1196,1195,1596,1580
Bangladesh,SI3_AGG - AGFO - Food,World,904,891,945,940,1236,1163
Bangladesh,SI3_AGG - MI - Fuels and mining products,World,180,157,123,109,257,209
Bangladesh,SI3_AGG - MIFU - Fuels,World,54,26,20,23,65,11
Bangladesh,SI3_AGG - MA - Manufactures,World,34444,37893,37951,32230,42288,52772
Bangladesh,SI3_AGG - MAIS - Iron and steel,World,7,10,7,23,77,14
Bangladesh,SI3_AGG - MACH - Chemicals,World,137,181,173,183,330,324
Bangladesh,SI3_AGG - MACHPH - Pharmaceuticals,World,75,93,87,111,147,126
Bangladesh,SI3_AGG - MAMT - Machinery and transport equipment,World,186,233,270,256,453,386
Bangladesh,SI3_AGG - MAMTOF - Office and telecom equipment,World,13,16,22,23,25,17
Bangladesh,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,4,4,3,4,8,8
Bangladesh,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,7,11,15,13,15,7
Bangladesh,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,2,2,5,6,2,2
Bangladesh,SI3_AGG - MAMTTE - Transport equipment,World,96,120,169,161,329,248
Bangladesh,SI3_AGG - MAMTAU - Automotive products,World,0,1,1,1,0,2
Bangladesh,SI3_AGG - MATE - Textiles,World,1677,1616,1578,1709,2135,2172
Bangladesh,SI3_AGG - MACL - Clothing,World,29213,32927,34026,27471,35812,45709
Barbados,SI3_AGG - TO - Total merchandise,World,485,448,444,345,350,498
Barbados,SI3_AGG - AG - Agricultural products,World,109,96,89,82,96,109
Barbados,SI3_AGG - AGFO - Food,World,109,96,89,82,96,109
Barbados,SI3_AGG - MI - Fuels and mining products,World,110,125,134,98,90,210
Barbados,SI3_AGG - MIFU - Fuels,World,108,121,127,92,84,200
Barbados,SI3_AGG - MA - Manufactures,World,261,226,217,161,161,174
Barbados,SI3_AGG - MAIS - Iron and steel,World,1,0,0,0,0,1
Barbados,SI3_AGG - MACH - Chemicals,World,72,63,55,61,53,52
Barbados,SI3_AGG - MACHPH - Pharmaceuticals,World,35,30,27,24,25,25
Barbados,SI3_AGG - MAMT - Machinery and transport equipment,World,30,20,20,23,18,24
Barbados,SI3_AGG - MAMTOF - Office and telecom equipment,World,4,3,3,2,3,6
Barbados,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1,1,1,1,1,0
Barbados,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,2,2,2,0,1,2
Barbados,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,0,1,1,1,3
Barbados,SI3_AGG - MAMTTE - Transport equipment,World,9,4,7,9,5,7
Barbados,SI3_AGG - MAMTAU - Automotive products,World,3,3,3,2,2,3
Barbados,SI3_AGG - MATE - Textiles,World,3,2,2,2,2,2
Barbados,SI3_AGG - MACL - Clothing,World,16,9,6,4,6,6
Belarus,SI3_AGG - TO - Total merchandise,World,29267,33726,32955,29179,39762,22793
Belarus,SI3_AGG - AG - Agricultural products,World,5534,6000,6414,6686,8060,
Belarus,SI3_AGG - AGFO - Food,World,4827,5047,5336,5516,6632,
Belarus,SI3_AGG - MI - Fuels and mining products,World,7255,8846,7216,4047,7338,
Belarus,SI3_AGG - MIFU - Fuels,World,6891,8477,6821,3680,6943,
Belarus,SI3_AGG - MA - Manufactures,World,15660,17691,17802,16813,15330,
Belarus,SI3_AGG - MAIS - Iron and steel,World,1028,1322,1223,1034,1610,
Belarus,SI3_AGG - MACH - Chemicals,World,4345,5338,5225,4723,1580,
Belarus,SI3_AGG - MACHPH - Pharmaceuticals,World,208,244,286,320,311,
Belarus,SI3_AGG - MAMT - Machinery and transport equipment,World,4985,5244,5438,5205,4772,
Belarus,SI3_AGG - MAMTOF - Office and telecom equipment,World,244,300,312,354,506,
Belarus,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,48,40,64,57,98,
Belarus,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,94,151,169,202,304,
Belarus,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,103,108,78,95,105,
Belarus,SI3_AGG - MAMTTE - Transport equipment,World,2162,2426,2501,2179,1693,
Belarus,SI3_AGG - MAMTAU - Automotive products,World,1829,2190,1960,1657,978,
Belarus,SI3_AGG - MATE - Textiles,World,678,731,724,689,738,
Belarus,SI3_AGG - MACL - Clothing,World,440,498,498,402,511,
Belgium,SI3_AGG - TO - Total merchandise,World,429645,468213,446910,421842,548869,635245
Belgium,SI3_AGG - AG - Agricultural products,World,48869,51221,50140,50396,58911,62576
Belgium,SI3_AGG - AGFO - Food,World,43374,45018,44111,44884,51585,55198
Belgium,SI3_AGG - MI - Fuels and mining products,World,47516,59751,52016,41143,74588,136642
Belgium,SI3_AGG - MIFU - Fuels,World,35939,44217,36757,24874,51288,113721
Belgium,SI3_AGG - MA - Manufactures,World,321316,351582,338714,324879,413024,436023
Belgium,SI3_AGG - MAIS - Iron and steel,World,17183,19265,16592,13313,20736,24780
Belgium,SI3_AGG - MACH - Chemicals,World,121404,141215,135366,139090,194783,210137
Belgium,SI3_AGG - MACHPH - Pharmaceuticals,World,44741,50408,55639,63989,99352,105045
Belgium,SI3_AGG - MAMT - Machinery and transport equipment,World,96257,102478,104277,96065,107031,108542
